,url
0,/movie/time-2020/
1,/movie/dick-johnson-is-dead/
2,/movie/hamilton-2020/
3,/movie/ma-raineys-black-bottom/
4,/movie/crip-camp-a-disability-revolution/
5,/movie/athlete-a/
6,/movie/black-is-king/
7,/movie/the-reason-i-jump/
8,/movie/the-disciple/
9,/movie/soul/
10,/movie/da-5-bloods/
11,/movie/my-octopus-teacher/
12,/movie/the-forty-year-old-version/
13,/movie/disclosure-2020/
14,/movie/mank/
15,/movie/lost-bullet/
16,/movie/im-thinking-of-ending-things/
17,/movie/the-social-dilemma/
18,/movie/and-tomorrow-the-entire-world/
19,/movie/a-secret-love/
20,/movie/phineas-and-ferb-the-movie-candace-against-the-universe/
21,/movie/rising-phoenix/
22,/movie/mucho-mucho-amor/
23,/movie/vampires-vs-the-bronx/
24,/movie/the-trial-of-the-chicago-7/
25,/movie/father-soldier-son/
26,/movie/the-half-of-it/
27,/movie/his-house/
28,/movie/definition-please/
29,/movie/tragic-jungle/
30,/movie/the-boys-in-the-band/
31,/movie/the-old-guard/
32,/movie/jingle-jangle-a-christmas-journey/
33,/movie/the-willoughbys/
34,/movie/enola-holmes/
35,/movie/concrete-cowboy/
36,/movie/worth/
37,/movie/cuties/
38,/movie/american-murder-the-family-next-door/
39,/movie/the-old-ways/
40,/movie/lost-girls/
41,/movie/blackpink-light-up-the-sky/
42,/movie/mulan-2020/
43,/movie/the-life-ahead/
44,/movie/i-care-a-lot/
45,/movie/audrey-2020/
46,/movie/becoming/
47,/movie/pieces-of-a-woman/
48,/movie/tigertail/
49,/movie/miss-americana/
50,/movie/critical-thinking/
51,/movie/nobody-knows-im-here/
52,/movie/all-together-now-2020/
53,/movie/funny-boy/
54,/movie/uncorked/
55,/movie/elephant-2020/
56,/movie/onward/
57,/movie/the-hater/
58,/movie/horse-girl/
59,/movie/all-the-bright-places/
60,/movie/over-the-moon/
61,/movie/all-day-and-a-night/
62,/movie/murder-to-mercy-the-cyntoia-brown-story/
63,/movie/night-in-paradise/
64,/movie/the-lovebirds/
65,/movie/the-midnight-sky/
